,ticker,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,TAGS,25.65,25.65,25.34,25.34,1171.0,25.4714,1731618000000,20.0,
1,IYZ,27.4,27.41,27.16,27.18,2671178.0,27.2457,1731618000000,7371.0,
2,AMJB,29.04,29.47,29.04,29.47,44688.0,29.2764,1731618000000,178.0,
3,NMHI,0.1298,0.1322,0.1067,0.112,31859930.0,0.1214,1731618000000,22382.0,
4,AEMD,0.4,0.41,0.37,0.3985,570498.0,0.3979,1731618000000,699.0,
5,SPYG,87.46,87.57,86.75,86.91,1682366.0,87.1176,1731618000000,15848.0,
6,LSCC,51.0,51.54,50.21,50.63,1566111.0,50.6466,1731618000000,24566.0,
7,DFAU,41.54,41.58,41.2,41.25,452085.0,41.3676,1731618000000,1455.0,
8,SKYX,1.21,1.21,1.12,1.19,448455.0,1.1723,1731618000000,2265.0,
9,COEP,0.206,0.2099,0.19,0.2055,78053.0,0.1975,1731618000000,141.0,
10,XDTE,53.4,53.49,53.01,53.11,133963.0,53.239,1731618000000,3216.0,
11,METV,14.02,14.11,13.95,13.96,146676.0,14.0245,1731618000000,1293.0,
12,SDA,9.25,9.59,9.1,9.28,400410.0,9.2911,1731618000000,2134.0,
13,IBDV,21.5,21.5,21.403,21.44,681018.0,21.4693,1731618000000,1434.0,
14,DAUG,39.77,39.895,39.6802,39.6802,20441.0,39.7422,1731618000000,67.0,
15,NXGL,3.18,3.34,2.9501,3.18,174227.0,3.2025,1731618000000,548.0,
16,WRD,19.26,19.99,15.76,15.79,276744.0,17.4553,1731618000000,2551.0,
17,MSC,6.09,6.4706,6.0,6.23,7409.0,6.1494,1731618000000,71.0,
18,KTOS,27.66,27.97,25.2,25.28,1607707.0,26.0406,1731618000000,26695.0,
19,THTX,1.28,1.28,1.185,1.21,29198.0,1.2097,1731618000000,134.0,
20,IYY,146.06,146.06,144.9,145.035,17463.0,145.4055,1731618000000,386.0,
21,CENX,21.03,21.47,20.67,21.12,1077876.0,21.0505,1731618000000,14606.0,
22,SGOV,100.48,100.48,100.47,100.47,4352388.0,100.4769,1731618000000,25065.0,
23,QRVO,66.1,66.79,65.66,66.3,1760823.0,66.2587,1731618000000,34182.0,
24,ATRA,14.48,14.83,12.63,12.77,124756.0,13.5481,1731618000000,2314.0,
25,IPAR,128.94,131.745,127.35,130.72,137409.0,130.3062,1731618000000,5884.0,
26,AER,94.86,95.3984,94.66,95.13,1219593.0,95.0314,1731618000000,16124.0,
27,NITO,0.2204,0.2238,0.21,0.2194,297407.0,0.2152,1731618000000,467.0,
28,BKD,5.42,5.485,5.275,5.33,1890852.0,5.3616,1731618000000,17018.0,
29,EEMA,73.59,73.68,73.18,73.255,21828.0,73.4874,1731618000000,209.0,
30,CCEL,9.02,9.1,8.5001,8.73,25431.0,8.9097,1731618000000,438.0,
31,WNC,19.45,19.6,19.13,19.35,323231.0,19.3385,1731618000000,7873.0,
32,ZD,57.95,58.52,56.74,57.31,384548.0,57.3904,1731618000000,9292.0,
33,PSFF,29.31,29.31,29.16,29.23,42999.0,29.2565,1731618000000,205.0,
34,PFF,32.78,32.79,32.6,32.61,3442516.0,32.6628,1731618000000,13286.0,
35,SRET,21.09,21.09,20.8501,20.95,26433.0,20.9868,1731618000000,548.0,
36,FTSM,59.89,59.89,59.85,59.86,854731.0,59.8695,1731618000000,1929.0,
37,PTF,71.52,71.605,70.605,70.68,17845.0,71.0742,1731618000000,406.0,
38,PESI,13.91,14.49,13.52,13.72,207648.0,14.0132,1731618000000,3381.0,
39,FDRR,52.98,53.1066,52.76,52.79,16436.0,52.9298,1731618000000,205.0,
40,IZRL,21.02,21.02,20.801,20.915,4222.0,20.9325,1731618000000,142.0,
41,NVRO,4.43,4.5,4.0,4.07,1380845.0,4.1651,1731618000000,9184.0,
42,PBM,0.0595,0.0595,0.0504,0.054,3030039.0,0.05425,1731618000000,4050.0,
43,MED,19.52,19.74,18.16,18.28,228068.0,18.5396,1731618000000,5257.0,
44,VFF,0.8,0.8139,0.785001,0.7999,318319.0,0.7961,1731618000000,1071.0,
45,UMBF,124.39,124.405,121.935,122.86,311362.0,122.8865,1731618000000,7679.0,
46,TOMZ,0.778,0.81,0.76,0.78,5007.0,0.7895,1731618000000,38.0,
47,ZDGE,2.84,2.86,2.66,2.78,37426.0,2.7587,1731618000000,340.0,
48,IHRT,2.3,2.39,2.2637,2.31,794385.0,2.3164,1731618000000,7811.0,
49,BUFS,21.83,21.83,21.6764,21.71,19908.0,21.7461,1731618000000,86.0,
50,QEFA,75.02,75.339,74.43,74.76,37858.0,74.993,1731618000000,335.0,
51,LTPZ,54.14,54.36,53.85,53.88,71194.0,54.0896,1731618000000,709.0,
52,MEDP,361.25,362.96,333.37,334.84,340325.0,342.0686,1731618000000,13986.0,
53,PCH,41.34,42.11,40.995,41.92,454212.0,41.6612,1731618000000,9010.0,
